geo,risk_cluster_id,risk_cluster
ak,3,Risk-4
al,3,Risk-4
ar,3,Risk-4
az,1,Risk-2
ca,2,Risk-3
co,2,Risk-3
ct,4,Risk-5
dc,2,Risk-3
de,2,Risk-3
fl,1,Risk-2
ga,1,Risk-2
gu,1,Risk-2
hi,1,Risk-2
ia,3,Risk-4
id,1,Risk-2
il,4,Risk-5
in,3,Risk-4
ks,3,Risk-4
ky,3,Risk-4
la,3,Risk-4
ma,4,Risk-5
md,2,Risk-3
me,2,Risk-3
mi,4,Risk-5
mn,4,Risk-5
mo,3,Risk-4
ms,1,Risk-2
mt,1,Risk-2
nc,2,Risk-3
nd,3,Risk-4
ne,3,Risk-4
nh,2,Risk-3
nj,3,Risk-4
nm,1,Risk-2
nv,1,Risk-2
ny,2,Risk-3
oh,4,Risk-5
ok,1,Risk-2
or,4,Risk-5
pa,4,Risk-5
pr,0,Risk-1
ri,2,Risk-3
sc,1,Risk-2
sd,3,Risk-4
tn,1,Risk-2
tx,1,Risk-2
ut,2,Risk-3
va,2,Risk-3
vi,0,Risk-1
vt,2,Risk-3
wa,2,Risk-3
wi,3,Risk-4
wv,3,Risk-4
wy,3,Risk-4
