geo,cluster,cluster_label
ak,1,Cluster 2
al,3,Cluster 4
ar,3,Cluster 4
az,0,Cluster 1
ca,0,Cluster 1
co,0,Cluster 1
ct,1,Cluster 2
dc,2,Cluster 3
de,1,Cluster 2
fl,0,Cluster 1
ga,0,Cluster 1
gu,4,Cluster 5
hi,4,Cluster 5
ia,3,Cluster 4
id,3,Cluster 4
il,1,Cluster 2
in,3,Cluster 4
ks,3,Cluster 4
ky,3,Cluster 4
la,3,Cluster 4
ma,1,Cluster 2
md,0,Cluster 1
me,1,Cluster 2
mi,1,Cluster 2
mn,1,Cluster 2
mo,1,Cluster 2
ms,3,Cluster 4
mt,3,Cluster 4
nc,0,Cluster 1
nd,3,Cluster 4
ne,3,Cluster 4
nh,1,Cluster 2
nj,1,Cluster 2
nm,4,Cluster 5
nv,4,Cluster 5
ny,1,Cluster 2
oh,1,Cluster 2
ok,3,Cluster 4
or,1,Cluster 2
pa,1,Cluster 2
pr,4,Cluster 5
ri,1,Cluster 2
sc,3,Cluster 4
sd,3,Cluster 4
tn,1,Cluster 2
tx,0,Cluster 1
ut,0,Cluster 1
va,0,Cluster 1
vi,4,Cluster 5
vt,1,Cluster 2
wa,0,Cluster 1
wi,1,Cluster 2
wv,1,Cluster 2
wy,3,Cluster 4
